Strategy        |World           |Time    |Score           |Undisco |Uncheck |NumPers 
TestFile2017    |default         |300     |5.509146E7      |5       |8       |2       
TestFile2017    |default         |300     |3.3086116E7     |5       |8       |2       
TestFile2017    |default         |300     |1.1093166E7     |5       |8       |2       
TestFile2017    |default         |300     |1.0093191E7     |5       |8       |2       
TestFile2017    |default         |300     |3.6094643E7     |5       |8       |2       
TestFile2017    |zigzag          |300     |1.0076245E7     |0       |0       |0       
TestFile2017    |SimpleMap       |300     |1.0037513E7     |2       |4       |0       
TestFile2017    |zigzag          |300     |1.0076245E7     |0       |0       |0       
0000_TEST       |default         |300     |2648107.0       |1       |3       |2       
TestFile2017    |default         |300     |7.0093775E7     |5       |7       |2       
TestFile2017    |default         |300     |7.0093775E7     |5       |7       |2       
TestFile2017    |default         |300     |1.1090873E7     |5       |7       |2       
TestFile2017    |zigzag          |300     |1002521.0       |1       |0       |0       
0000_TEST       |default         |300     |2648107.0       |1       |3       |2       
A-Team          |default         |300     |1.0092785E7     |5       |8       |2       
A-Team          |happy_map       |300     |1.00105E7       |0       |0       |0       
A-Team          |happy_map       |300     |1.0010326E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.9010195E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.8010185E7     |0       |0       |0       
A-Team          |happy_map       |300     |1.8010185E7     |0       |0       |0       
A-Team - Copy   |mappa_triste    |300     |3.2013775E7     |0       |0       |0       
A-Team - Copy   |mappa_triste    |300     |3.2013775E7     |0       |0       |0       
A-Team          |world-25x25-10D |500     |4.90698181E8    |18      |45      |2       
A-Team          |default         |300     |3.7060962E7     |3       |8       |2       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_SoundDebri |300     |1.0022202E7     |0       |0       |0       
A-Team          |TEST_Debris     |300     |1.0038385E7     |1       |0       |0       
A-Team          |default         |300     |1.0040683E7     |1       |2       |2       
A-Team          |TEST_CappelVerde|300     |1.0042867E7     |1       |5       |0       
A-Team          |TEST_CappelVerde|300     |1.0060531E7     |3       |5       |0       
A-Team          |world-15x15-10D |300     |1.0100694E7     |4       |5       |1       
A-Team          |first-world-S   |300     |1.0023976E7     |0       |4       |2       
A-Team          |TEST_Empty      |300     |100036.0        |0       |0       |0       
A-Team          |default         |1000    |228860.0        |0       |1       |2       
A-Team          |default         |1000    |1.1601225E7     |5       |8       |2       
A-Team          |TEST_Empty      |300     |100036.0        |0       |0       |0       
A-Team          |default         |1000    |228860.0        |0       |1       |2       
A-Team          |mappa_triste    |1000    |103937.0        |0       |0       |0       
A-Team          |TEST_Empty      |300     |100036.0        |0       |0       |0       
A-Team          |TEST_Empty      |300     |100036.0        |0       |0       |0       
A-Team          |default         |1000    |228860.0        |0       |1       |2       
A-Team          |default         |1000    |230798.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224796.0        |0       |1       |2       
A-Team          |TEST_CappelVerde|10000   |93782.0         |0       |0       |0       
A-Team          |TEST_Empty      |300     |100036.0        |0       |0       |0       
A-Team          |first-world-S   |300     |1.002358E7      |0       |4       |2       
A-Team          |first-world-S   |300     |1.002358E7      |0       |4       |2       
A-Team          |first-world-S   |300     |1.002358E7      |0       |4       |2       
A-Team          |TEST_SoLittleTi |20      |1.0000118E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000192E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000192E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000192E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000204E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |1.0000174E7     |0       |0       |0       
A-Team          |TEST_SoLittleTi |20      |1.0000339E7     |0       |0       |0       
A-Team          |first-world-S   |300     |1.0029749E7     |0       |2       |2       
A-Team          |first-world-S   |300     |629154.0        |0       |3       |2       
A-Team          |first-world-S   |300     |823445.0        |0       |4       |2       
A-Team          |world-15x15-10D |300     |1.0117891E7     |5       |6       |1       
A-Team          |world-15x15-10D |300     |1.0117891E7     |5       |6       |1       
A-Team          |world-15x15-10D |300     |1.0117891E7     |5       |6       |1       
A-Team          |world-15x15-10D |300     |1.0117891E7     |5       |6       |1       
A-Team          |world-15x15-10D |300     |9311003.0       |4       |6       |1       
A-Team          |world-15x15-30D |300     |2.1566703E7     |6       |47      |1       
A-Team          |first-world-S   |300     |629154.0        |0       |3       |2       
A-Team          |first-world-S   |300     |822284.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823445.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823445.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823541.0        |0       |4       |2       
A-Team          |first-world-S   |300     |1022666.0       |0       |5       |2       
A-Team          |first-world-S   |300     |4236403.0       |2       |1       |2       
A-Team          |first-world-S   |300     |1.0033024E7     |1       |1       |2       
A-Team          |default         |1000    |1.1601225E7     |5       |8       |2       
A-Team          |default         |1000    |347785.0        |0       |1       |2       
A-Team          |default         |1000    |229117.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224724.0        |0       |1       |2       
A-Team          |first-world-S   |300     |823463.0        |0       |4       |2       
A-Team          |first-world-S   |300     |1.0032193E7     |0       |5       |2       
A-Team          |first-world-S   |300     |1031924.0       |0       |5       |2       
A-Team          |first-world-S   |300     |2826652.0       |1       |4       |2       
A-Team          |first-world-S   |300     |2826652.0       |1       |4       |2       
A-Team          |first-world-S   |300     |1.0032193E7     |0       |5       |2       
A-Team          |first-world-S   |300     |1031924.0       |0       |5       |2       
A-Team          |first-world-S   |300     |823463.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823463.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823508.0        |0       |4       |2       
A-Team          |world-20x20-10D |400     |2.0286087E7     |8       |20      |1       
A-Team          |default         |1000    |231078.0        |0       |1       |2       
A-Team          |default         |1000    |229284.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224595.0        |0       |1       |2       
A-Team          |first-world-S   |300     |823445.0        |0       |4       |2       
A-Team          |first-world-S   |300     |823445.0        |0       |4       |2       
A-Team          |SimpleMap       |300     |106266.0        |0       |0       |0       
A-Team          |SimpleMap       |300     |6271.0          |0       |0       |0       
A-Team          |SimpleMap       |300     |106266.0        |0       |0       |0       
A-Team          |SimpleMap       |300     |6271.0          |0       |0       |0       
A-Team          |SimpleMap       |300     |205817.0        |0       |1       |0       
A-Team          |SimpleMap       |300     |205817.0        |0       |1       |0       
A-Team          |SimpleMap       |300     |106266.0        |0       |0       |0       
A-Team          |SimpleMap       |300     |205817.0        |0       |1       |0       
A-Team          |TEST_SoLittleTi |40      |490.0           |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |65.0            |0       |0       |0       
A-Team          |TEST_SoLittleTi |10      |65.0            |0       |0       |0       
A-Team          |TEST_SoLittleTi |50      |100384.0        |0       |0       |0       
A-Team          |TEST_SoLittleTi |50      |100384.0        |0       |0       |0       
A-Team          |TEST_SoLittleTi |50      |100384.0        |0       |0       |0       
A-Team          |TEST_SoLittleTi |50      |456.0           |0       |0       |0       
A-Team          |TEST_Empty      |300     |36.0            |0       |0       |0       
A-Team          |default         |1000    |229284.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224595.0        |0       |1       |2       
A-Team          |default         |1000    |229284.0        |0       |1       |2       
A-Team          |default         |1000    |529375.0        |0       |2       |2       
A-Team          |default         |1000    |231250.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |236997.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |524617.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |default         |1000    |529533.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |first-world-L   |10000   |524795.0        |0       |2       |2       
A-Team          |happy_map       |300     |3974.0          |0       |0       |0       
A-Team          |first-world-L   |10000   |224717.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |248647.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |1.1601225E7     |5       |8       |2       
A-Team          |first-world-L   |10000   |225057.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |225057.0        |0       |1       |2       
A-Team          |default         |1000    |228907.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |225982.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224889.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |224663.0        |0       |1       |2       
A-Team          |TEST_Empty      |300     |41.0            |0       |0       |0       
A-Team          |first-world-L   |10000   |224717.0        |0       |1       |2       
A-Team          |first-world-L   |10000   |236059.0        |0       |1       |2       
A-Team          |first-world-S   |300     |822058.0        |0       |4       |2       
A-Team          |first-world-S   |300     |1022479.0       |0       |5       |2       
A-Team          |first-world-S   |300     |1022479.0       |0       |5       |2       
A-Team          |first-world-S   |300     |822058.0        |0       |4       |2       
A-Team          |first-world-S   |300     |1022479.0       |0       |5       |2       
A-Team          |first-world-S   |300     |1022479.0       |0       |5       |2       
A-Team          |first-world-S   |300     |1022479.0       |0       |5       |2       
A-Team          |first-world-S   |300     |1.0023593E7     |0       |4       |2       
A-Team          |TEST_Empty      |300     |41.0            |0       |0       |0       
A-Team          |TEST_Empty      |300     |54.0            |0       |0       |0       
A-Team          |TEST_Empty      |300     |54.0            |0       |0       |0       
A-Team          |TEST_SoLittleTi |50      |478.0           |0       |0       |0       
A-Team          |happy_map       |300     |1382.0          |0       |0       |0       
A-Team          |happy_map       |10      |100315.0        |0       |0       |0       
